GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
44236	Kekaha, HI Urban Cluster	C	4712862	4785	1.82	0.002	21.962314	-159.674738                                                                                                                          
44263	Kellogg, ID Urban Cluster	C	5118881	76405	1.976	0.03	47.537912	-116.132364                                                                                                                        
44290	Kelseyville, CA Urban Cluster	C	5820637	13105	2.247	0.005	38.970184	-122.831384                                                                                                                   
44317	Kemmerer, WY Urban Cluster	C	3831162	8101	1.479	0.003	41.778593	-110.541736                                                                                                                       
44344	Kenai, AK Urban Cluster	C	13741598	0	5.306	0.	60.567097	-151.257911                                                                                                                               
44371	Kendallville, IN Urban Cluster	C	13847840	433264	5.347	0.167	41.446816	-85.263723                                                                                                                 
44398	Kenedy, TX Urban Cluster	C	10297163	47288	3.976	0.018	28.799247	-97.84923                                                                                                                         
44425	Kennebunk, ME Urban Cluster	C	30668000	318765	11.841	0.123	43.365823	-70.498519                                                                                                                   
44452	Kennett, MO Urban Cluster	C	15279577	699	5.899	0.	36.240223	-90.047221                                                                                                                            
44479	Kennewick--Pasco, WA Urbanized Area	U	266028267	18054409	102.714	6.971	46.236183	-119.195147                                                                                                      
44506	Kenosha, WI--IL Urbanized Area	U	132401073	438884	51.12	0.169	42.569124	-87.868102                                                                                                                
44533	Kenton, OH Urban Cluster	C	10305918	0	3.979	0.	40.647318	-83.60502                                                                                                                                
44560	Keokuk, IA--IL Urban Cluster	C	22058449	19770	8.517	0.008	40.40752	-91.386209                                                                                                                     
44587	Kerman, CA Urban Cluster	C	6522508	0	2.518	0.	36.727308	-120.062074                                                                                                                               
44614	Kermit, TX Urban Cluster	C	8359749	0	3.228	0.	31.854022	-103.090097                                                                                                                               
44641	Kerrville, TX Urban Cluster	C	45300657	464382	17.491	0.179	30.052084	-99.159519                                                                                                                   
44668	Ketchikan, AK Urban Cluster	C	14534254	49409	5.612	0.019	55.34716	-131.656302                                                                                                                     
44695	Ketchum, ID Urban Cluster	C	8971711	106851	3.464	0.041	43.683487	-114.372784                                                                                                                      
44722	Kewanee, IL Urban Cluster	C	14261643	0	5.506	0.	41.241148	-89.92402                                                                                                                               
44738	Kewaunee, WI Urban Cluster	C	3376590	422480	1.304	0.163	44.456703	-87.508053                                                                                                                      
44789	Key Largo, FL Urban Cluster	C	35640396	8578483	13.761	3.312	25.01103	-80.529313                                                                                                                   
44803	Keyser, WV--MD Urban Cluster	C	9846236	198977	3.802	0.077	39.430272	-78.99264                                                                                                                     
44830	Keystone Heights, FL Urban Cluster	C	19842335	2390650	7.661	0.923	29.794356	-82.028136                                                                                                            
44857	Key West, FL Urban Cluster	C	21130630	2976535	8.159	1.149	24.569626	-81.75154                                                                                                                     
44884	Kiel--New Holstein, WI Urban Cluster	C	10031929	78793	3.873	0.03	43.931146	-88.059246                                                                                                             
44911	Kihei, HI Urban Cluster	C	17338630	0	6.694	0.	20.732592	-156.446333                                                                                                                               
44925	Kilauea, HI Urban Cluster	C	6287730	4583	2.428	0.002	22.210461	-159.406019                                                                                                                        
44938	Kilgore, TX Urban Cluster	C	45509548	52971	17.571	0.02	32.400857	-94.875379                                                                                                                       
44965	Kill Devil Hills, NC Urban Cluster	C	63429383	21992562	24.49	8.491	36.047197	-75.690361                                                                                                           
44992	Killeen, TX Urbanized Area	U	219796217	591408	84.864	0.228	31.094566	-97.751581                                                                                                                   
45032	Kimberling City, MO Urban Cluster	C	11668975	2518879	4.505	0.973	36.630076	-93.426295                                                                                                             
45073	King City, CA Urban Cluster	C	13408383	11634	5.177	0.004	36.172072	-121.143013                                                                                                                    
45100	Kingfisher, OK Urban Cluster	C	5603844	5154	2.164	0.002	35.848631	-97.936782                                                                                                                      
45112	King George, VA Urban Cluster	C	8428721	119543	3.254	0.046	38.268822	-77.212041                                                                                                                   
45127	Kingman, AZ Urban Cluster	C	61545898	0	23.763	0.	35.221722	-114.017835                                                                                                                            
45154	Kingman, KS Urban Cluster	C	4835622	0	1.867	0.	37.647684	-98.11388                                                                                                                                
45181	Kingsland, TX Urban Cluster	C	23448575	918095	9.054	0.354	30.661986	-98.451026                                                                                                                    
45235	Kingsport, TN--VA Urbanized Area	U	294367863	3219730	113.656	1.243	36.520714	-82.547704                                                                                                           
